deso,kommun,lan,kommunnamn,lannamn,2_doser,minst_1_dos
1292A0030,1292,12,Ängelholm,Skåne,0.68,0.77
1082A0020,1082,10,Karlshamn,Blekinge,0.73,0.84
1233B4010,1233,12,Vellinge,Skåne,0.69,0.8
1287A0040,1287,12,Trelleborg,Skåne,0.68,0.79
1280C1960,1280,12,Malmö,Skåne,0.52,0.66
1263B2020,1263,12,Svedala,Skåne,0.73,0.81
1280C2100,1280,12,Malmö,Skåne,0.46,0.61
1280C2020,1280,12,Malmö,Skåne,0.27,0.46
1280C2090,1280,12,Malmö,Skåne,0.52,0.72
1264B2010,1264,12,Skurup,Skåne,0.66,0.77
1233C1040,1233,12,Vellinge,Skåne,0.81,0.88
1280C2420,1280,12,Malmö,Skåne,0.69,0.85
1280C2380,1280,12,Malmö,Skåne,0.69,0.86
1280C2430,1280,12,Malmö,Skåne,0.67,0.82
1280C2390,1280,12,Malmö,Skåne,0.55,0.69
1280C2320,1280,12,Malmö,Skåne,0.8,0.86
1291B3010,1291,12,Simrishamn,Skåne,0.68,0.75
1263C1010,1263,12,Svedala,Skåne,0.74,0.84
1287A0050,1287,12,Trelleborg,Skåne,0.68,0.77
1081C1030,1081,10,Ronneby,Blekinge,0.55,0.67
1233C1050,1233,12,Vellinge,Skåne,0.73,0.83
1233A0010,1233,12,Vellinge,Skåne,0.73,0.82
1281C1160,1281,12,Lund,Skåne,0.79,0.87
1281C1200,1281,12,Lund,Skåne,0.73,0.91
1281C1240,1281,12,Lund,Skåne,0.7,0.8
1281C1220,1281,12,Lund,Skåne,0.74,0.86
1083A0020,1083,10,Sölvesborg,Blekinge,0.65,0.79
1263C1020,1263,12,Svedala,Skåne,0.71,0.8
1283C1180,1283,12,Helsingborg,Skåne,0.8,0.87
1083C1030,1083,10,Sölvesborg,Blekinge,0.65,0.81
1264C1030,1264,12,Skurup,Skåne,0.61,0.75
1263C1050,1263,12,Svedala,Skåne,0.74,0.82
1233A0020,1233,12,Vellinge,Skåne,0.77,0.85
1233B4020,1233,12,Vellinge,Skåne,0.75,0.84
1286A0050,1286,12,Ystad,Skåne,0.7,0.81
1280C1010,1280,12,Malmö,Skåne,0.8,0.88
1280C1230,1280,12,Malmö,Skåne,0.48,0.59
1263C1030,1263,12,Svedala,Skåne,0.8,0.88
1270C1010,1270,12,Tomelilla,Skåne,0.72,0.82
1264A0030,1264,12,Skurup,Skåne,0.71,0.8
1283C1390,1283,12,Helsingborg,Skåne,0.73,0.82
1283C1380,1283,12,Helsingborg,Skåne,0.62,0.76
1280C1020,1280,12,Malmö,Skåne,0.76,0.86
1263C1060,1263,12,Svedala,Skåne,0.75,0.84
1283C1450,1283,12,Helsingborg,Skåne,0.58,0.74
1283C1510,1283,12,Helsingborg,Skåne,0.6,0.7
1263C1070,1263,12,Svedala,Skåne,0.78,0.87
1270C1020,1270,12,Tomelilla,Skåne,0.57,0.69
