lan,kommun,deso,lannamn,kommunnamn,regso,age,minst_1_dos,2_doser
08,0840,0840A0020,Kalmar,Mörbylånga,Mörbylånga omland,65+,90-100,90-100
12,1293,1293B7010,Skåne,Hässleholm,Hästveda,18-64,60-70,50-60
12,1293,1293B7010,Skåne,Hässleholm,Hästveda,65+,90-100,90-100
12,1257,1257C1030,Skåne,Örkelljunga,Örkelljunga norra,18-64,50-60,40-50
12,1257,1257C1030,Skåne,Örkelljunga,Örkelljunga norra,65+,90-100,80-90
12,1292,1292C1150,Skåne,Ängelholm,Vejbystrand-Magnarp-Skepparkroken,18-64,80-90,60-70
12,1292,1292C1150,Skåne,Ängelholm,Vejbystrand-Magnarp-Skepparkroken,65+,90-100,90-100
01,0180,0180C2400,Stockholm,Stockholm,Hammarbyhöjden,18-64,80-90,60-70
01,0180,0180C2400,Stockholm,Stockholm,Hammarbyhöjden,65+,90-100,90-100
01,0180,0180C2420,Stockholm,Stockholm,Västertorp,18-64,70-80,50-60
01,0180,0180C2420,Stockholm,Stockholm,Västertorp,65+,80-90,80-90
12,1257,1257C1020,Skåne,Örkelljunga,Örkelljunga västra,18-64,60-70,50-60
12,1257,1257C1020,Skåne,Örkelljunga,Örkelljunga västra,65+,90-100,80-90
12,1257,1257C1010,Skåne,Örkelljunga,Örkelljunga östra,18-64,70-80,60-70
12,1257,1257C1010,Skåne,Örkelljunga,Örkelljunga östra,65+,90-100,90-100
12,1292,1292C1130,Skåne,Ängelholm,Skälderviken-Pomona-Ärrarps ängar,18-64,80-90,70-80
12,1292,1292C1130,Skåne,Ängelholm,Skälderviken-Pomona-Ärrarps ängar,65+,90-100,90-100
08,0880,0880C1060,Kalmar,Kalmar,Östra Norrgård-Östra Malmen,18-64,80-90,50-60
08,0880,0880C1060,Kalmar,Kalmar,Östra Norrgård-Östra Malmen,65+,90-100,90-100
13,1380,1380C1130,Halland,Halmstad,Andersberg,18-64,40-50,20-30
13,1380,1380C1130,Halland,Halmstad,Andersberg,65+,80-90,80-90
